Variable_name	Value
Innodb_buffer_pool_load_status	Buffer pool(s) load completed at 221109 17:08:33
Innodb_buffer_pool_resize_status	
Innodb_buffer_pool_pages_data	1581
Innodb_buffer_pool_bytes_data	25903104
Innodb_buffer_pool_pages_dirty	0
Innodb_buffer_pool_bytes_dirty	0
Innodb_buffer_pool_pages_flushed	160
Innodb_buffer_pool_pages_free	6605
Innodb_buffer_pool_pages_LRU_flushed	0
Innodb_buffer_pool_pages_made_not_young	0
Innodb_buffer_pool_pages_made_young	0
Innodb_buffer_pool_pages_misc	6
Innodb_buffer_pool_pages_old	603
Innodb_buffer_pool_pages_total	8192
Innodb_buffer_pool_read_ahead_rnd	0
Innodb_buffer_pool_read_ahead	0
Innodb_buffer_pool_read_ahead_evicted	0
Innodb_buffer_pool_read_requests	16353
Innodb_buffer_pool_reads	1440
Innodb_buffer_pool_wait_free	0
Innodb_buffer_pool_write_requests	1642
Innodb_checkpoint_age	0
Innodb_checkpoint_max_age	466429952
Innodb_data_fsyncs	43
Innodb_data_pending_fsyncs	0
Innodb_data_pending_reads	0
Innodb_data_pending_writes	0
Innodb_data_read	39523328
Innodb_data_reads	2447
Innodb_data_writes	214
Innodb_data_written	2684928
Innodb_dblwr_pages_written	19
Innodb_dblwr_writes	6
Innodb_ibuf_free_list	4191
Innodb_ibuf_segment_size	4193
Innodb_log_waits	0
Innodb_log_write_requests	647
Innodb_log_writes	23
Innodb_lsn_current	31870833053
Innodb_lsn_flushed	31870833053
Innodb_lsn_last_checkpoint	31870833053
Innodb_master_thread_active_loops	2
Innodb_master_thread_idle_loops	80
Innodb_max_trx_id	255243
Innodb_oldest_view_low_limit_trx_id	0
Innodb_os_log_fsyncs	19
Innodb_os_log_pending_fsyncs	0
Innodb_os_log_pending_writes	0
Innodb_os_log_written	34304
Innodb_page_size	16384
Innodb_pages_created	142
Innodb_pages_read	1439
Innodb_pages0_read	8
Innodb_pages_written	160
Innodb_purge_trx_id	255241
Innodb_purge_undo_no	0
Innodb_redo_log_enabled	ON
Innodb_row_lock_current_waits	0
Innodb_row_lock_time	0
Innodb_row_lock_time_avg	0
Innodb_row_lock_time_max	0
Innodb_row_lock_waits	0
Innodb_rows_deleted	0
Innodb_rows_inserted	0
Innodb_rows_read	0
Innodb_rows_updated	0
Innodb_system_rows_deleted	0
Innodb_system_rows_inserted	0
Innodb_system_rows_read	5010
Innodb_system_rows_updated	317
Innodb_sampled_pages_read	0
Innodb_sampled_pages_skipped	0
Innodb_num_open_files	17
Innodb_truncated_status_writes	0
Innodb_undo_tablespaces_total	2
Innodb_undo_tablespaces_implicit	2
Innodb_undo_tablespaces_explicit	0
Innodb_undo_tablespaces_active	2
Innodb_secondary_index_triggered_cluster_reads	2199
Innodb_secondary_index_triggered_cluster_reads_avoided	0
Innodb_buffered_aio_submitted	0
Innodb_scan_pages_contiguous	0
Innodb_scan_pages_disjointed	0
Innodb_scan_pages_total_seek_distance	0
Innodb_scan_data_size	0
Innodb_scan_deleted_recs_size	0
Innodb_scrub_log	0
Innodb_scrub_background_page_reorganizations	0
Innodb_scrub_background_page_splits	0
Innodb_scrub_background_page_split_failures_underflow	0
Innodb_scrub_background_page_split_failures_out_of_filespace	0
Innodb_scrub_background_page_split_failures_missing_index	0
Innodb_scrub_background_page_split_failures_unknown	0
Innodb_encryption_n_merge_blocks_encrypted	0
Innodb_encryption_n_merge_blocks_decrypted	0
Innodb_encryption_n_rowlog_blocks_encrypted	0
Innodb_encryption_n_rowlog_blocks_decrypted	0
Innodb_encryption_redo_key_version	0
Key_blocks_not_flushed	0
Key_blocks_unused	6698
Key_blocks_used	0
Key_read_requests	0
Key_reads	0
Key_write_requests	0
Key_writes	0
Locked_connects	0
Max_execution_time_exceeded	0
Max_execution_time_set	0
Max_execution_time_set_failed	0
Max_used_connections	1
Max_used_connections_time	2022-11-09 17:09:21
Mysqlx_aborted_clients	0
Mysqlx_address	::
Mysqlx_bytes_received	0
Mysqlx_bytes_received_compressed_payload	0
Mysqlx_bytes_received_uncompressed_frame	0
Mysqlx_bytes_sent	0
Mysqlx_bytes_sent_compressed_payload	0
Mysqlx_bytes_sent_uncompressed_frame	0
Mysqlx_compression_algorithm	
Mysqlx_compression_level	
Mysqlx_connection_accept_errors	0
Mysqlx_connection_errors	0
Mysqlx_connections_accepted	0
Mysqlx_connections_closed	0
Mysqlx_connections_rejected	0
Mysqlx_crud_create_view	0
Mysqlx_crud_delete	0
Mysqlx_crud_drop_view	0
Mysqlx_crud_find	0
Mysqlx_crud_insert	0
Mysqlx_crud_modify_view	0
Mysqlx_crud_update	0
Mysqlx_cursor_close	0
Mysqlx_cursor_fetch	0
Mysqlx_cursor_open	0
Mysqlx_errors_sent	0
Mysqlx_errors_unknown_message_type	0
Mysqlx_expect_close	0
Mysqlx_expect_open	0
Mysqlx_init_error	0
Mysqlx_messages_sent	0
Mysqlx_notice_global_sent	0
Mysqlx_notice_other_sent	0
Mysqlx_notice_warning_sent	0
Mysqlx_notified_by_group_replication	0
Mysqlx_port	33060
Mysqlx_prep_deallocate	0
Mysqlx_prep_execute	0
Mysqlx_prep_prepare	0
Mysqlx_rows_sent	0
Mysqlx_sessions	0
Mysqlx_sessions_accepted	0
Mysqlx_sessions_closed	0
Mysqlx_sessions_fatal_error	0
Mysqlx_sessions_killed	0
Mysqlx_sessions_rejected	0
Mysqlx_socket	/var/run/mysqld/mysqlx.sock
Mysqlx_ssl_accepts	0
Mysqlx_ssl_active	
Mysqlx_ssl_cipher	
Mysqlx_ssl_cipher_list	
Mysqlx_ssl_ctx_verify_depth	18446744073709551615
Mysqlx_ssl_ctx_verify_mode	5
Mysqlx_ssl_finished_accepts	0
Mysqlx_ssl_server_not_after	Oct 29 20:25:34 2032 GMT
Mysqlx_ssl_server_not_before	Nov  1 20:25:34 2022 GMT
Mysqlx_ssl_verify_depth	
Mysqlx_ssl_verify_mode	
Mysqlx_ssl_version	
Mysqlx_stmt_create_collection	0
Mysqlx_stmt_create_collection_index	0
Mysqlx_stmt_disable_notices	0
Mysqlx_stmt_drop_collection	0
Mysqlx_stmt_drop_collection_index	0
Mysqlx_stmt_enable_notices	0
Mysqlx_stmt_ensure_collection	0
Mysqlx_stmt_execute_mysqlx	0
Mysqlx_stmt_execute_sql	0
Mysqlx_stmt_execute_xplugin	0
Mysqlx_stmt_get_collection_options	0
Mysqlx_stmt_kill_client	0
Mysqlx_stmt_list_clients	0
Mysqlx_stmt_list_notices	0
Mysqlx_stmt_list_objects	0
Mysqlx_stmt_modify_collection_options	0
Mysqlx_stmt_ping	0
Mysqlx_worker_threads	2
Mysqlx_worker_threads_active	0
Net_buffer_length	16384
Not_flushed_delayed_rows	0
Ongoing_anonymous_transaction_count	0
Open_files	1
Open_streams	0
Open_table_definitions	43
Open_tables	70
Opened_files	1
Opened_table_definitions	72
Opened_tables	151
Performance_schema_accounts_lost	0
Performance_schema_cond_classes_lost	0
Performance_schema_cond_instances_lost	0
Performance_schema_digest_lost	0
Performance_schema_file_classes_lost	0
Performance_schema_file_handles_lost	0
Performance_schema_file_instances_lost	0
Performance_schema_hosts_lost	0
Performance_schema_index_stat_lost	0
Performance_schema_locker_lost	0
Performance_schema_memory_classes_lost	0
Performance_schema_metadata_lock_lost	0
Performance_schema_mutex_classes_lost	0
Performance_schema_mutex_instances_lost	0
Performance_schema_nested_statement_lost	0
Performance_schema_prepared_statements_lost	0
Performance_schema_program_lost	0
Performance_schema_rwlock_classes_lost	0
Performance_schema_rwlock_instances_lost	0
Performance_schema_session_connect_attrs_longest_seen	0
Performance_schema_session_connect_attrs_lost	0
Performance_schema_socket_classes_lost	0
Performance_schema_socket_instances_lost	0
Performance_schema_stage_classes_lost	0
Performance_schema_statement_classes_lost	0
Performance_schema_table_handles_lost	0
Performance_schema_table_instances_lost	0
Performance_schema_table_lock_stat_lost	0
Performance_schema_thread_classes_lost	0
Performance_schema_thread_instances_lost	0
Performance_schema_users_lost	0
Prepared_stmt_count	0
Queries	6
Questions	5
Replica_open_temp_tables	0
Rsa_public_key	-----BEGIN PUBLIC KEY-----\nMIIBIjANBgkqhkiG9w0BAQEFAAOCAQ8AMIIBCgKCAQEAtL8GTZuTi/9+dDtwrq9j\n7utN4GnDZwkvCRs8UTb1R/9NaJq1/FMdk86gqKg/qUtACzZd1nJuUpm/OKvURDZa\nYmNWgI+wWU8zdgWmRWyK9EGteTbFFSfVJVaY24si40Q/J+UEkkv8rFrFEB96Zq0j\nUlbYstrLLa+pkQDWR7a6FLFNUiZfQP14swdDo6QCEbinbk8Izf5OI2xoH7a8iFYc\nL1vHu0nQ5us+bXNBvXN8+hKQzfdfhL5sZg+SBZXrUCmjZdlaZvvYHZWWr4LGJLMl\ng0t5V0xZXREeNH4U66vMZlwZhiorf5BU/wKQfmW2b7pi/GEmCMpiIe0oqwnz8KHQ\nTQIDAQAB\n-----END PUBLIC KEY-----\n
Secondary_engine_execution_count	0
Select_full_join	0
Select_full_range_join	0
Select_range	0
Select_range_check	0
Select_scan	4
Slave_open_temp_tables	0
Slow_launch_threads	0
Slow_queries	0
Sort_merge_passes	0
Sort_range	0
Sort_rows	0
Sort_scan	0
Ssl_accept_renegotiates	0
Ssl_accepts	2
Ssl_callback_cache_hits	0
Ssl_cipher	TLS_AES_256_GCM_SHA384
Ssl_cipher_list	TLS_AES_256_GCM_SHA384:TLS_CHACHA20_POLY1305_SHA256:TLS_AES_128_GCM_SHA256:ECDHE-ECDSA-AES128-GCM-SHA256:ECDHE-ECDSA-AES256-GCM-SHA384:ECDHE-RSA-AES128-GCM-SHA256:ECDHE-ECDSA-AES128-SHA256:ECDHE-RSA-AES128-SHA256:ECDHE-RSA-AES256-GCM-SHA384:ECDHE-ECDSA-AES256-SHA384:ECDHE-RSA-AES256-SHA384:DHE-RSA-AES128-GCM-SHA256:DHE-DSS-AES128-GCM-SHA256:DHE-RSA-AES128-SHA256:DHE-DSS-AES128-SHA256:DHE-DSS-AES256-GCM-SHA384:DHE-RSA-AES256-SHA256:DHE-DSS-AES256-SHA256:DHE-RSA-AES256-GCM-SHA384:ECDHE-RSA-AES128-SHA:ECDHE-ECDSA-AES128-SHA:ECDHE-RSA-AES256-SHA:ECDHE-ECDSA-AES256-SHA:DHE-DSS-AES128-SHA:DHE-RSA-AES128-SHA:DHE-DSS-AES256-SHA:DHE-RSA-AES256-SHA:AES256-SHA:CAMELLIA256-SHA:CAMELLIA128-SHA:AES128-GCM-SHA256:AES256-GCM-SHA384:AES128-SHA256:AES256-SHA256:AES128-SHA
Ssl_client_connects	0
Ssl_connect_renegotiates	0
Ssl_ctx_verify_depth	18446744073709551615
Ssl_ctx_verify_mode	5
Ssl_default_timeout	7200
Ssl_finished_accepts	2
Ssl_finished_connects	0
Ssl_server_not_after	Oct 29 20:25:34 2032 GMT
Ssl_server_not_before	Nov  1 20:25:34 2022 GMT
Ssl_session_cache_hits	0
Ssl_session_cache_misses	0
Ssl_session_cache_mode	SERVER
Ssl_session_cache_overflows	0
Ssl_session_cache_size	128
Ssl_session_cache_timeout	300
Ssl_session_cache_timeouts	0
Ssl_sessions_reused	0
Ssl_used_session_cache_entries	0
Ssl_verify_depth	18446744073709551615
Ssl_verify_mode	5
Ssl_version	TLSv1.3
Table_locks_immediate	2
Table_locks_waited	0
Table_open_cache_hits	3291
Table_open_cache_misses	151
Table_open_cache_overflows	0
Tc_log_max_pages_used	0
Tc_log_page_size	4096
Tc_log_page_waits	0
Threadpool_idle_threads	0
Threadpool_threads	0
Threads_cached	0
Threads_connected	1
Threads_created	1
Threads_running	2
Uptime	87
Uptime_since_flush_status	87
rocksdb_rows_deleted	0
rocksdb_rows_deleted_blind	0
rocksdb_rows_inserted	0
rocksdb_rows_read	0
rocksdb_rows_updated	0
rocksdb_rows_expired	0
rocksdb_rows_filtered	0
rocksdb_rows_unfiltered_no_snapshot	0
rocksdb_system_rows_deleted	0
rocksdb_system_rows_inserted	0
rocksdb_system_rows_read	0
rocksdb_system_rows_updated	0
rocksdb_memtable_total	4096
rocksdb_memtable_unflushed	4096
rocksdb_queries_point	0
rocksdb_queries_range	0
rocksdb_table_index_stats_success	0
rocksdb_table_index_stats_failure	0
rocksdb_table_index_stats_req_queue_length	0
rocksdb_covered_secondary_key_lookups	0
rocksdb_additional_compaction_triggers	0
rocksdb_block_cache_add	7
rocksdb_block_cache_add_failures	0
rocksdb_block_cache_bytes_read	80286
rocksdb_block_cache_bytes_write	808494
rocksdb_block_cache_compressed_hit	0
rocksdb_block_cache_compressed_miss	0
rocksdb_block_cache_data_add	2
rocksdb_block_cache_data_bytes_insert	4319
rocksdb_block_cache_data_hit	36
rocksdb_block_cache_data_miss	2
rocksdb_block_cache_filter_add	2
rocksdb_block_cache_filter_bytes_evict	0
rocksdb_block_cache_filter_bytes_insert	771658
rocksdb_block_cache_filter_hit	0
rocksdb_block_cache_filter_miss	2
rocksdb_block_cache_hit	55
rocksdb_block_cache_index_add	3
rocksdb_block_cache_index_bytes_evict	0
rocksdb_block_cache_index_bytes_insert	32517
rocksdb_block_cache_index_hit	19
rocksdb_block_cache_index_miss	3
rocksdb_block_cache_miss	7
rocksdb_bloom_filter_full_positive	15
rocksdb_bloom_filter_full_true_positive	15
rocksdb_bloom_filter_prefix_checked	0
rocksdb_bloom_filter_prefix_useful	0
rocksdb_bloom_filter_useful	0
rocksdb_bytes_read	1843
rocksdb_bytes_written	72
rocksdb_compact_read_bytes	0
rocksdb_compact_write_bytes	10153685
rocksdb_compaction_key_drop_new	0
rocksdb_compaction_key_drop_obsolete	0
rocksdb_compaction_key_drop_user	0
rocksdb_flush_write_bytes	0
rocksdb_get_hit_l0	15
rocksdb_get_hit_l1	0
rocksdb_get_hit_l2_and_up	17
rocksdb_get_updates_since_calls	0
rocksdb_iter_bytes_read	584
rocksdb_manual_compactions_cancelled	0
rocksdb_manual_compactions_pending	0
rocksdb_manual_compactions_processed	0
rocksdb_manual_compactions_running	0
rocksdb_memtable_hit	19
rocksdb_memtable_miss	32
rocksdb_no_file_closes	0
rocksdb_no_file_errors	0
rocksdb_no_file_opens	93
rocksdb_num_iterators	0
rocksdb_number_block_not_compressed	1
rocksdb_number_db_next	9
rocksdb_number_db_next_found	9
rocksdb_number_db_prev	0
rocksdb_number_db_prev_found	0
rocksdb_number_db_seek	5
rocksdb_number_db_seek_found	3
rocksdb_number_deletes_filtered	0
rocksdb_number_keys_read	51
rocksdb_number_keys_updated	0
rocksdb_number_keys_written	2
rocksdb_number_merge_failures	0
rocksdb_number_multiget_bytes_read	0
rocksdb_number_multiget_get	0
rocksdb_number_multiget_keys_read	0
rocksdb_number_reseeks_iteration	0
rocksdb_number_sst_entry_delete	0
rocksdb_number_sst_entry_merge	0
rocksdb_number_sst_entry_other	0
rocksdb_number_sst_entry_put	617211
rocksdb_number_sst_entry_singledelete	0
rocksdb_number_superversion_acquires	4
rocksdb_number_superversion_cleanups	0
rocksdb_number_superversion_releases	0
rocksdb_partial_index_groups_materialized	0
rocksdb_partial_index_groups_sorted	0
rocksdb_partial_index_rows_materialized	0
rocksdb_partial_index_rows_sorted	0
rocksdb_row_lock_deadlocks	0
rocksdb_row_lock_wait_timeouts	0
rocksdb_snapshot_conflict_errors	0
rocksdb_stall_l0_file_count_limit_slowdowns	0
rocksdb_stall_locked_l0_file_count_limit_slowdowns	0
rocksdb_stall_l0_file_count_limit_stops	0
rocksdb_stall_locked_l0_file_count_limit_stops	0
rocksdb_stall_pending_compaction_limit_stops	0
rocksdb_stall_pending_compaction_limit_slowdowns	0
rocksdb_stall_memtable_limit_stops	0
rocksdb_stall_memtable_limit_slowdowns	0
rocksdb_stall_total_stops	0
rocksdb_stall_total_slowdowns	0
rocksdb_stall_micros	0
rocksdb_wal_bytes	72
rocksdb_wal_group_syncs	0
rocksdb_wal_synced	51
rocksdb_write_other	0
rocksdb_write_self	3
rocksdb_write_timedout	0
rocksdb_write_wal	3
